in_dir_path,site_id,recorder_id
/media/alvaro/Nesp_CR_1/NespCR01/NP01,NP01,NP01
/media/alvaro/Nesp_CR_1/NespCR01/NP02,NP02,NP02
/media/alvaro/Nesp_CR_1/NespCR01/NP03,NP03,NP03
/media/alvaro/Nesp_CR_1/NespCR01/NP04,NP04,NP04
/media/alvaro/Nesp_CR_1/NespCR01/NP05,NP05,NP05
/media/alvaro/Nesp_CR_1/NespCR01/NP06,NP06,NP06
/media/alvaro/Nesp_CR_1/NespCR01/NP07,NP07,NP07
/media/alvaro/Nesp_CR_1/NespCR01/NP08,NP08,NP08
/media/alvaro/Nesp_CR_1/NespCR01/NP09,NP09,NP09
/media/alvaro/Nesp_CR_1/NespCR01/NP10,NP10,NP10
/media/alvaro/Nesp_CR_1/NespCR01/NP11,NP11,NP11
/media/alvaro/Nesp_CR_1/NespCR01/NP12,NP12,NP12
/media/alvaro/Nesp_CR_1/NespCR01/NP13,NP13,NP13
/media/alvaro/Nesp_CR_1/NespCR01/NP14,NP14,NP14
/media/alvaro/Nesp_CR_1/NespCR01/NP15,NP15,NP15
/media/alvaro/Nesp_CR_1/NespCR01/NP16,NP16,NP16
/media/alvaro/Nesp_CR_1/NespCR01/NP17,NP17,NP17
/media/alvaro/Nesp_CR_1/NespCR01/NP18,NP18,NP18
/media/alvaro/Nesp_CR_1/NespCR01/NP19,NP19,NP19
/media/alvaro/Nesp_CR_1/NespCR01/NP20,NP20,NP20
/media/alvaro/Nesp_CR_1/NespCR01/NP21,NP21,NP21
/media/alvaro/Nesp_CR_1/NespCR01/NP22,NP22,NP22
/media/alvaro/Nesp_CR_1/NespCR01/NP23,NP23,NP23
/media/alvaro/Nesp_CR_1/NespCR01/NP24,NP24,NP24
/media/alvaro/Nesp_CR_1/NespCR01/NP25,NP25,NP25
/media/alvaro/Nesp_CR_1/NespCR01/NP27,NP27,NP27
/media/alvaro/Nesp_CR_1/NespCR01/NP28,NP28,NP28
/media/alvaro/Nesp_CR_1/NespCR01/NP29,NP29,NP29
/media/alvaro/Nesp_CR_1/NespCR01/NP30,NP30,NP30
/media/alvaro/Nesp_CR_1/NespCR01/NP31,NP31,NP31
/media/alvaro/Nesp_CR_1/NespCR01/NP32,NP32,NP32
/media/alvaro/Nesp_CR_1/NespCR01/NP33,NP33,NP33
/media/alvaro/Nesp_CR_1/NespCR01/NP34,NP34,NP34
/media/alvaro/Nesp_CR_1/NespCR01/NP35,NP35,NP35
/media/alvaro/Nesp_CR_1/NespCR01/NP36,NP36,NP36
/media/alvaro/Nesp_CR_1/NespCR01/NP37,NP37,NP37
/media/alvaro/Nesp_CR_1/NespCR01/NP38,NP38,NP38
/media/alvaro/Nesp_CR_1/NespCR01/NP39,NP39,NP39
/media/alvaro/Nesp_CR_1/NespCR01/NP40,NP40,NP40
